Brand,Model_SubModel,Year,GearType,Price
BMW,220i 2.0 M Sport,2015,AUTO,"1,440,000"
BMW,220i 2.0 M Sport,2016,AUTO,"1,520,000"
BMW,220i 2.0 M Sport,2017,AUTO,"1,600,000"
BMW,220i 2.0 Gran Coupe Sport (CKD),2021,AUTO,"1,750,000"
BMW,220i 2.0 Gran Coupe Sport (CKD),2022,AUTO,"1,830,000"
BMW,220i 2.0 Gran Coupe M Sport (CKD),2020,AUTO,"1,720,000"
BMW,220i 2.0 Gran Coupe M Sport (CKD),2021,AUTO,"1,800,000"
BMW,220i 2.0 Gran Coupe M Sport (CKD),2022,AUTO,"1,880,000"
BMW,"318i 1.9 (E46)
(MMFAY75020JA)",2003,AUTO,"225,000"
BMW,"318i 1.9 (E46)
(MMFAY75020JA)",2004,AUTO,"240,000"
BMW,"318i 1.9 (E46)
(MMFAY75020JA)",2005,AUTO,"255,000"
BMW,"318i 1.9 (E46)
(MMFAY75020JA)",2006,AUTO,"270,000"
BMW,"318i 2.0 SE (E46)
(MMFAY75090JA)",2003,AUTO,"240,000"
BMW,"318i 2.0 SE (E46)
(MMFAY75090JA)",2004,AUTO,"255,000"
BMW,"318i 2.0 SE (E46)
(MMFAY75090JA)",2005,AUTO,"270,000"
BMW,"318i 2.0 SE (E46)
(MMFAY75090JA)",2006,AUTO,"285,000"
BMW,"318i 2.0 (E90)
(MMFVA57020FX)",2006,AUTO,"360,000"
BMW,"318i 2.0 (E90)
(MMFVA57020FX)",2007,AUTO,"400,000"
BMW,"318i 2.0 (E90)
(MMFVA57020FX)",2008,AUTO,"440,000"
BMW,"318i 2.0 (E90)
(MMFVA57020FX)",2009,AUTO,"480,000"
BMW,"318i 2.0 (E90)
(MMFVA57020FX)",2010,AUTO,"520,000"
BMW,"318i 2.0 (E90)
(MMFVA57020FX)",2011,AUTO,"560,000"
BMW,"318i 2.0 (E90)
(MMFVA57020FX)",2012,AUTO,"600,000"
BMW,"318i 2.0 (E90)
(MMFVA57020FX)",2013,AUTO,"640,000"
BMW,"318i 2.0 SE (E90)
( MMFVA57020FX)",2008,AUTO,"430,000"
BMW,"318i 2.0 SE (E90)
( MMFVA57020FX)",2009,AUTO,"460,000"
